game,benchmark_version,game_id,model,experiment,episode,Aborted,Lose,Success,chat,target,player
taboo,v1.0,5,gpt-4-0613-t0.0--gpt-4-0613-t0.0,0_high_en,episode_5,0,0,1,"[{'role': 'user', 'content': 'You are playing a collaborative word guessing game in which you have to describe a target word for another player to guess.\n\nRules:\n(a) You have to reply in the form: CLUE: <some text>. Guesses from the other player will start with GUESS.\n(b) You cannot use the target word itself, parts or morphological variants of it in your description.\n(c) In addition, the same rules apply for related words which are provided below.\n\nEnd conditions:\n(i) If you use the target word or a related word in your description, then you lose.\n(ii) If the other player can guess the target word in 3 tries, you both win.\n\nLet us start.\n\nThis is the target word that you need to describe and that the other player needs to guess:\n\nagenda\n\nRelated words are:\n\n- schedule\n- calendar\n- docket\n\nImportant: You are under time pressure, give short descriptions that are to the point!'}, {'role': 'assistant', 'content': 'CLUE: A list of items to be discussed at a meeting.'}]",agenda,player 1
taboo,v0.9,1,claude-v1.3-t0.0--claude-v1.3-t0.0,1_medium_en,episode_1,0,0,1,"[{'role': 'user', 'content': 'You are playing a collaborative word guessing game in which you have to describe a target word for another player to guess.\n\nRules:\n(a) You have to reply in the form: CLUE: <some text>. Guesses from the other player will start with GUESS.\n(b) You cannot use the target word itself, parts or morphological variants of it in your description.\n(c) In addition, the same rules apply for related words which are provided below.\n\nEnd conditions:\n(i) If you use the target word or a related word in your description, then you lose.\n(ii) If the other player can guess the target word in 3 tries, you both win.\n\nLet us start.\n\nThis is the target word that you need to describe and that the other player needs to guess:\n\nreflection\n\nRelated words are:\n\n- scandal\n- thought\n- remark\n\nImportant: You are under time pressure, give short descriptions that are to the point!'}, {'role': 'assistant', 'content': 'CLUE: What you see in a mirror.'}]",reflection,player 1
taboo,v1.0,15,claude-v1.3-t0.0--claude-v1.3-t0.0,0_high_en,episode_15,0,0,1,"[{'role': 'user', 'content': 'You are playing a collaborative word guessing game in which you have to describe a target word for another player to guess.\n\nRules:\n(a) You have to reply in the form: CLUE: <some text>. Guesses from the other player will start with GUESS.\n(b) You cannot use the target word itself, parts or morphological variants of it in your description.\n(c) In addition, the same rules apply for related words which are provided below.\n\nEnd conditions:\n(i) If you use the target word or a related word in your description, then you lose.\n(ii) If the other player can guess the target word in 3 tries, you both win.\n\nLet us start.\n\nThis is the target word that you need to describe and that the other player needs to guess:\n\nbreakfast\n\nRelated words are:\n\n- cookout\n- collation\n- luncheon\n\nImportant: You are under time pressure, give short descriptions that are to the point!'}, {'role': 'assistant', 'content': 'CLUE: Morning meal.'}]",breakfast,player 1
taboo,v0.9,9,claude-v1.3-t0.0--claude-v1.3-t0.0,0_high_en,episode_9,0,0,1,"[{'role': 'user', 'content': 'You are playing a collaborative word guessing game in which you have to describe a target word for another player to guess.\n\nRules:\n(a) You have to reply in the form: CLUE: <some text>. Guesses from the other player will start with GUESS.\n(b) You cannot use the target word itself, parts or morphological variants of it in your description.\n(c) In addition, the same rules apply for related words which are provided below.\n\nEnd conditions:\n(i) If you use the target word or a related word in your description, then you lose.\n(ii) If the other player can guess the target word in 3 tries, you both win.\n\nLet us start.\n\nThis is the target word that you need to describe and that the other player needs to guess:\n\ncensus\n\nRelated words are:\n\n- count\n- tally\n- tale\n\nImportant: You are under time pressure, give short descriptions that are to the point!'}, {'role': 'assistant', 'content': 'CLUE: Official population recording.'}]",census,player 1
taboo,v1.0,15,gpt-4-1106-preview-t0.0--gpt-4-1106-preview-t0.0,1_medium_en,episode_15,0,0,1,"[{'role': 'user', 'content': 'You are playing a collaborative word guessing game in which you have to guess a target word that another player describes to you.\n\nYou can make one guess at each trial. You win when you guess the target word. You lose when you cannot guess it in 3 tries.\n\nAfter each trial you will get a new hint from the other player which starts with CLUE.\n\nMake your guesses by just saying the word using the following form: GUESS: <a word>\n\nLet us start.\n\n\nCLUE: Financial aid granted to a student due to academic achievements or other criteria to help pay for schooling.'}, {'role': 'assistant', 'content': 'GUESS: Scholarship'}]",scholarship,player 2
taboo,v0.9,5,claude-v1.3-t0.0--claude-v1.3-t0.0,1_medium_en,episode_5,0,0,1,"[{'role': 'user', 'content': 'You are playing a collaborative word guessing game in which you have to guess a target word that another player describes to you.\n\nYou can make one guess at each trial. You win when you guess the target word. You lose when you cannot guess it in 3 tries.\n\nAfter each trial you will get a new hint from the other player which starts with CLUE.\n\nMake your guesses by just saying the word using the following form: GUESS: <a word>\n\nLet us start.\n\n\nCLUE: Young canine'}, {'role': 'assistant', 'content': 'GUESS: puppy'}]",puppy,player 2
taboo,v1.0,10,gpt-4-1106-preview-t0.0--gpt-4-1106-preview-t0.0,1_medium_en,episode_10,0,0,1,"[{'role': 'user', 'content': 'You are playing a collaborative word guessing game in which you have to describe a target word for another player to guess.\n\nRules:\n(a) You have to reply in the form: CLUE: <some text>. Guesses from the other player will start with GUESS.\n(b) You cannot use the target word itself, parts or morphological variants of it in your description.\n(c) In addition, the same rules apply for related words which are provided below.\n\nEnd conditions:\n(i) If you use the target word or a related word in your description, then you lose.\n(ii) If the other player can guess the target word in 3 tries, you both win.\n\nLet us start.\n\nThis is the target word that you need to describe and that the other player needs to guess:\n\nsole\n\nRelated words are:\n\n- exclusive\n- only\n- lone\n\nImportant: You are under time pressure, give short descriptions that are to the point!'}, {'role': 'assistant', 'content': 'CLUE: The underside of a shoe or boot.'}]",sole,player 1
taboo,v1.0,7,claude-v1.3-t0.0--claude-v1.3-t0.0,0_high_en,episode_7,0,0,1,"[{'role': 'user', 'content': 'You are playing a collaborative word guessing game in which you have to guess a target word that another player describes to you.\n\nYou can make one guess at each trial. You win when you guess the target word. You lose when you cannot guess it in 3 tries.\n\nAfter each trial you will get a new hint from the other player which starts with CLUE.\n\nMake your guesses by just saying the word using the following form: GUESS: <a word>\n\nLet us start.\n\n\nCLUE: Green space in a city.'}, {'role': 'assistant', 'content': 'GUESS: Park'}]",park,player 2
taboo,v1.0,15,gpt-4-0613-t0.0--gpt-4-0613-t0.0,2_low_en,episode_15,0,0,1,"[{'role': 'user', 'content': 'You are playing a collaborative word guessing game in which you have to describe a target word for another player to guess.\n\nRules:\n(a) You have to reply in the form: CLUE: <some text>. Guesses from the other player will start with GUESS.\n(b) You cannot use the target word itself, parts or morphological variants of it in your description.\n(c) In addition, the same rules apply for related words which are provided below.\n\nEnd conditions:\n(i) If you use the target word or a related word in your description, then you lose.\n(ii) If the other player can guess the target word in 3 tries, you both win.\n\nLet us start.\n\nThis is the target word that you need to describe and that the other player needs to guess:\n\ncameroon\n\nRelated words are:\n\n- country\n- yaounde\n- africa\n\nImportant: You are under time pressure, give short descriptions that are to the point!'}, {'role': 'assistant', 'content': ""CLUE: It's a place known for its diverse landscapes and languages, located on the Gulf of Guinea.""}, {'role': 'user', 'content': 'GUESS: nigeria.'}, {'role': 'assistant', 'content': ""CLUE: It's not Nigeria, but it's a neighboring place known for its active volcanoes and wildlife like elephants.""}]",cameroon,player 1
taboo,v0.9,5,claude-v1.3-t0.0--claude-v1.3-t0.0,2_low_en,episode_5,0,0,1,"[{'role': 'user', 'content': 'You are playing a collaborative word guessing game in which you have to guess a target word that another player describes to you.\n\nYou can make one guess at each trial. You win when you guess the target word. You lose when you cannot guess it in 3 tries.\n\nAfter each trial you will get a new hint from the other player which starts with CLUE.\n\nMake your guesses by just saying the word using the following form: GUESS: <a word>\n\nLet us start.\n\n\nCLUE: Pulling force'}, {'role': 'assistant', 'content': 'GUESS: Gravity'}]",gravity,player 2
